Food Name,Calories,Protein_g,Carbohydrates_g,taste,Ingredients,prep_time,Instructions,Description,Fat,No_serving
Moringa Leaves Red Rice Bowl,155,6,19,Salty,"Moringa Leaves, Red Rice, Olive Oil, Salt",Total 30 M,Boil red rice. Mix chopped moringa leaves. Drizzle olive oil and season with salt. Simmer 5 mins. Serve hot.,"Rich in vitamins and protein, ideal for diabetic diet.",7,4
Brinjal Upma,155,6,19,Spicy,"Brinjal, Olive Oil, Mustard Seeds, Salt, Turmeric",Total 25 M,Chop and sauté brinjal in olive oil. Add spices and cook until tender. Simmer 5 mins. Serve hot. Pair with rice or roti.,"High fiber and low GI, supports blood sugar control.",6,3
Dalia Idli,160,6,20,Salty,"Dalia, Olive Oil, Salt, Turmeric",Total 25 M,Prepare dalia batter. Pour into idli molds. Steam for 15-20 mins. Serve warm. Optionally serve with chutney.,"Gluten-free, high protein, fiber-rich.",6,3
Ragi Pongal - Maharashtrian Style,160,6,21,"Spicy, Salty","Ragi, Olive Oil, Salt, Mustard Seeds",Total 30 M,Cook ragi with water. Add tempering of oil and spices. Simmer 10 mins. Serve hot. Optionally add vegetables.,"Rich in calcium, fiber, and low GI.",6,2
Carrot Paratha,160,6,20,"Spicy, Salty","Carrot, Wheat, Olive Oil, Salt",Total 30 M,Mix Carrot with flour and spices. Knead into dough. Roll and cook as paratha. Serve hot. Optional yogurt accompaniment.,"High in fiber and beta-carotene, healthy for digestion.",5,3
Pearl Millet Balls,145,6,18,Salty,"Pearl Millet, Olive Oil, Salt",Total 25 M,Prepare small balls with millet flour. Steam or bake until firm. Serve warm. Optionally drizzle olive oil. Pair with chutney.,"Low GI, protein-rich, ideal for diabetics.",7,2
Moringa Leaves Muthia,150,6,19,"Spicy, Salty","Moringa Leaves, Besan, Olive Oil, Salt, Turmeric",Total 25 M,Mix moringa leaves with besan and spices. Shape into rolls. Steam or bake. Serve warm. Optional yogurt on side.,"High in protein and vitamins, supports glucose control.",8,3
Peas Bowl,155,6,20,Salty,"Peas, Olive Oil, Cumin, Salt",Total 25 M,"Boil Peas. Season with olive oil, cumin, and salt. Cook 5 mins. Mash slightly. Serve hot.","High protein, fiber-rich, diabetic-friendly.",9,3
Foxtail Millet Sabzi,150,6,19,Salty,"Foxtail Millet, Olive Oil, Mustard Seeds, Salt",Total 30 M,Boil millet. Temper with olive oil and spices. Simmer 5 mins. Serve warm. Optionally add vegetables.,"Low GI, high fiber, supports digestion.",7,3
Bitter Gourd Bowl,145,5,18,"Bitter, Salty","Bitter Gourd, Olive Oil, Salt, Turmeric",Total 25 M,Chop bitter gourd. Sauté with olive oil and spices. Cook until tender. Serve hot. Optional yogurt side.,"Helps regulate blood sugar, high in fiber.",8,3
Jowar Upma - Punjabi Style,155,6,20,Salty,"Jowar, Olive Oil, Mustard Seeds, Curry Leaves, Salt",Total 25 M,Roast jowar. Boil until soft. Temper with oil and spices. Serve hot. Optionally add vegetables.,"Gluten-free, high fiber, diabetic-friendly.",6,2
Dalia Upma - Bihari Style,155,6,20,Salty,"Dalia, Olive Oil, Salt, Cumin",Total 25 M,Roast dalia lightly. Boil with water. Temper with olive oil and spices. Serve warm. Optional chutney.,"Fiber-rich, helps maintain blood sugar.",5,2
Ivy Gourd Bajra Bowl,150,6,19,Salty,"Ivy Gourd, Bajra, Olive Oil, Salt",Total 25 M,Cook bajra and ivy gourd. Season with olive oil and salt. Simmer 5 mins. Serve warm. Optionally add curry leaves.,"Rich in fiber and vitamins, low GI.",7,2
Ridge Gourd Khichdi,165,6,21,Salty,"Ridge Gourd, Olive Oil, Salt, Turmeric",Total 25 M,Chop ridge gourd. Sauté in olive oil. Add spices and simmer. Cook 10 mins. Serve hot.,"Fiber-rich, low calorie, helps digestion.",6,2
Red Rice Mash,145,6,18,Salty,"Red Rice, Olive Oil, Salt",Total 30 M,Cook red rice. Mash lightly. Add olive oil and salt. Serve warm. Optional tempered spices.,High in fiber and complex carbs.,9,2
Bajra Upma - Rajasthani Style,155,6,20,Salty,"Bajra, Olive Oil, Salt",Total 25 M,Roast bajra. Boil with water. Add olive oil and salt. Cook 10 mins. Serve hot.,"Gluten-free, rich in protein and fiber.",8,2
Pearl Millet Upma - Maharashtrian Style,155,6,20,Salty,"Pearl Millet, Olive Oil, Salt",Total 25 M,Boil pearl millet. Add olive oil and salt. Mix well. Serve hot. Optional chutney.,"High in protein and fiber, diabetic-friendly.",3,2
Fenugreek Leaves No-Oil Pancake,150,6,18,Salty,"Fenugreek Leaves, Besan, Salt",Total 25 M,Mix fenugreek leaves with besan. Add salt. Pour batter on pan. Cook both sides. Serve warm.,Fenugreek aids in blood sugar regulation.,4,2
Oats Pops,145,6,17,Salty,"Oats, Olive Oil, Salt",Total 20 M,Mix oats with water and salt. Cook until soft. Form into pops. Serve warm. Optional spices.,"High fiber, keeps blood sugar stable.",5,2
Okra Grill,145,5,18,Salty,"Okra, Olive Oil, Salt",Total 25 M,Slice okra. Grill with olive oil and salt. Cook until tender. Serve hot. Optional spices.,"Fiber-rich, low GI.",6,3
Foxtail Millet Dosa - Bihari Style,155,6,19,Salty,"Foxtail Millet, Olive Oil, Salt",Total 30 M,Prepare dosa batter with millet. Cook on heated pan. Drizzle oil. Flip and cook both sides. Serve hot.,"Protein and fiber-rich, diabetic-friendly.",9,3
Millet Pulao - Mangalorean,165,6,21,Salty,"Millet, Olive Oil, Salt",Total 25 M,Cook millet. Add spices and olive oil. Simmer 5 mins. Serve warm. Optional vegetables.,"Low GI, high fiber.",5,3
Little Millet Dosa - Rajasthani Style,155,6,19,"Spicy, Salty","Little Millet, Olive Oil, Salt, Cumin",Total 25 M,Prepare dosa batter with little millet. Cook on pan. Flip both sides. Serve hot. Optional chutney.,"High protein, gluten-free, diabetic-friendly.",8,4
Red Rice Pongal - Bengali Style,160,6,20,Salty,"Red Rice, Olive Oil, Salt",Total 30 M,Cook red rice with water. Add olive oil and salt. Mix well. Serve hot. Optional seasoning.,"High in fiber, low GI.",6,2
Quinoa Khichdi - Mangalorean,165,6,21,Salty,"Quinoa, Olive Oil, Salt",Total 25 M,Boil quinoa until soft. Add olive oil and salt. Mix well. Serve warm. Optional vegetables.,"Protein-rich, gluten-free.",8,3
Ragi Sabzi,150,6,19,"Bitter, Salty","Ragi, Olive Oil, Salt, Mustard Seeds",Total 25 M,Boil ragi. Temper with oil and spices. Simmer 5 mins. Serve hot. Optional chutney.,"High calcium, fiber, low GI.",6,4
Spinach Cheela,150,6,18,"Spicy, Salty","Spinach, Olive Oil, Salt, Green Chili",Total 25 M,Prepare spinach. Mix with spices and salt. Cook 5 mins. Serve warm. Optional Lemon .,"Fiber and vitamin-rich, diabetic-friendly.",7,3
Wheat Tikki,145,6,18,Salty,"Wheat, Olive Oil, Salt",Total 25 M,Prepare dough with Wheat. Shape into small tikki. Cook on heated pan. Serve hot. Optional chutney.,"High fiber, low GI.",6,3
Wheat Pongal - Bihari Style,160,6,20,Salty,"Wheat, Olive Oil, Salt",Total 25 M,Boil wheat. Add olive oil and salt. Simmer until soft. Serve warm. Optional spices.,"Fiber-rich, low glycemic.",5,2
Kodo Millet Pongal - South Indian,160,6,20,Salty,"Kodo Millet, Olive Oil, Salt",Total 25 M,Cook kodo millet. Add olive oil and salt. Mix thoroughly. Serve hot. Optional chutney.,"Low GI, protein-rich.",6,2
Pearl Millet Upma - Assamese Style,155,6,19,Salty,"Pearl Millet, Olive Oil, Salt",Total 25 M,Boil pearl millet. Add olive oil and salt. Simmer 5 mins. Serve warm. Optional spices.,"High protein, fiber-rich.",8,3
Foxtail Millet Pulao - South Indian,165,6,21,Salty,"Foxtail Millet, Olive Oil, Salt",Total 25 M,Cook foxtail millet. Add olive oil and salt. Mix well. Serve hot. Optional chutney.,"Low GI, protein-rich, diabetic-friendly.",1,2
Red Rice Pulao - Assamese Style,165,6,21,"Salty, Spicy","Red Rice, Olive Oil, Salt, Cumin Seeds, Green Chili",Total 30 M,"Wash and cook red rice. Heat olive oil, add cumin seeds and green chili. Mix rice with tempering. Simmer for 5 mins. Serve hot.","Diabetic-friendly, high fiber and low GI, supports blood sugar control.",5,2
Mushroom and Horse Gram Curry,160,7,22,Spicy,"Mushroom, Horse Gram, Sunflower Oil, Ginger, Garlic, Turmeric, Salt",Total 30 M,"Soak horse gram and boil. Heat oil, add ginger, garlic, and spices. Sauté mushrooms. Add horse gram and simmer. Serve warm.","Rich in protein and antioxidants, helps in maintaining stable blood sugar.",6,2
Fenugreek Leaves Paratha,160,6,20,"Salty, Astringent","Fenugreek Leaves, Wheat, Olive Oil, Salt",Total 25 M,Knead Wheat with chopped fenugreek leaves. Add salt and olive oil. Roll into parathas. Cook on a hot pan. Serve hot.,"Fenugreek leaves help in lowering glucose levels, good for diabetics.",5,2
Amaranth Pongal - Bengali Style,160,6,20,Salty,"Amaranth, Olive Oil, Salt, Black Pepper",Total 25 M,"Cook amaranth. Heat olive oil, add cooked amaranth and black pepper. Mix well. Cook 2–3 mins. Serve warm.","High fiber, low GI, supports blood sugar management.",6,2
Black Bean Pulao,165,7,22,"Spicy, Bitter","Black Bean, Olive Oil, Salt, Turmeric, Cumin Seeds",Total 30 M,"Soak and boil black beans. Heat oil, add cumin and turmeric. Add beans and sauté. Simmer 5 mins. Serve hot.","Protein-rich, fiber-rich, stabilizes glucose levels.",7,2
Black Gram with Cauliflower,155,6,20,"Bitter, Astringent","Black Gram, Cauliflower, Groundnut Oil, Salt, Turmeric",Total 30 M,"Boil black gram and cauliflower. Heat oil, add turmeric. Mix vegetables and legumes. Cook for 5 mins. Serve warm.",Helps in controlling blood sugar and improves digestion.,8,2
Kodo Millet Dosa - Bihari Style,155,6,19,Spicy,"Kodo Millet, Olive Oil, Salt, Green Chili",Total 25 M,"Cook millet. Heat olive oil, add green chili. Mix cooked millet with tempering. Simmer 5 mins. Serve hot.","Low GI, high fiber, supports steady blood sugar.",9,3
Pumpkin Pakora,150,5,18,Salty,"Pumpkin, Olive Oil, Salt, Cumin Seeds",Total 25 M,"Peel and chop pumpkin. Boil until soft. Heat oil, add cumin seeds. Mix pumpkin with tempering. Serve warm.","Rich in fiber, helps maintain blood sugar levels.",6,2
Barley Upma - Punjabi Style,155,6,19,Spicy,"Barley, Olive Oil, Salt, Turmeric, Green Chili",Total 30 M,"Cook barley. Heat oil, add spices. Mix barley with spices. Simmer 5 mins. Serve hot.","Supports digestion, low GI, diabetic-friendly.",5,2
Pearl Millet Kofta,155,6,20,"Spicy, Salty","Pearl Millet, Olive Oil, Salt, Black Pepper, Cumin",Total 25 M,"Cook pearl millet. Heat oil, add cumin and black pepper. Mix millet with tempering. Simmer 3–5 mins. Serve hot.","Fiber-rich, stabilizes blood sugar, protein source.",4,2
Wheat Pakora,150,5,18,"Spicy, Salty","Wheat, Chickpea Flour, Olive Oil, Salt, Turmeric, Cumin Seeds",Total in 25 M,"Mix flours, salt, turmeric. Add water to make batter. Heat oil in pan. Shape pakoras and fry until golden. Serve hot.",Protein-rich snack suitable for maintaining energy levels.,8,3
Rajgira Dosa - Punjabi Style,155,6,19,Spicy,"Rajgira Flour, Olive Oil, Salt, Green Chili",Total in 20 M,Mix rajgira flour with water and salt. Add chopped green chili. Spread batter on hot pan. Cook both sides until brown. Serve warm.,"High-protein, gluten-free breakfast option for diabetics.",6,2
Black Bean Bowl,155,7,20,Salty,"Black Beans, Olive Oil, Salt, Turmeric, Garlic",Total in 30 M,"Soak black beans overnight. Boil until soft. Heat olive oil, sauté garlic and turmeric. Add beans and cook 5 mins. Serve warm.","Rich in fiber and protein, helps stabilize blood sugar.",7,3
Green Gram Bowl,155,7,20,"Salty, Astringent","Green Gram, Olive Oil, Salt, Turmeric, Mustard Seeds",Total in 25 M,"Boil green gram. Heat oil, add mustard seeds and turmeric. Mix boiled gram with seasoning. Cook 5 mins. Serve.","Low-GI meal, promotes satiety and digestion.",5,2
Urad Dal Sandwich,160,6,21,"Spicy, Salty","Urad Dal, Wheat, Olive Oil, Salt, Ginger, Green Chili",Total in 30 M,Boil urad dal until soft. Mash and mix with Wheat. Add ginger and chili. Shape into sandwich. Pan-fry and serve.,"High-protein sandwich, great for steady energy release.",5,2
Foxtail Millet Sprout Bowl,155,6,20,"Salty, Bitter","Foxtail Millet Sprouts, Olive Oil, Salt, Cumin Seeds, Curry Leaves",Total in 30 M,"Steam foxtail millet sprouts. Heat oil, add cumin seeds and curry leaves. Toss sprouts in seasoning. Cook 5 mins. Serve warm.",Antioxidant-rich dish aiding digestion.,4,2
Ragi Pongal - Konkani Style,160,6,21,"Spicy, Astringent","Ragi Flour, Olive Oil, Salt, Green Chili, Ginger",Total in 25 M,Mix ragi flour with water and salt. Add ginger and chili paste. Cook as pongal in pan. Stir frequently. Serve hot.,Helps maintain blood sugar and provides calcium.,6,2
Jowar Khichdi - Assamese Style,165,6,21,Salty,"Jowar, Olive Oil, Salt, Turmeric, Mustard Seeds",Total in 30 M,"Boil jowar grains. Heat oil, add mustard seeds and turmeric. Mix boiled jowar with seasoning. Cook 5 mins. Serve warm.","Low-GI dish, keeps blood sugar stable.",7,2
Millet Upma - Konkani Style,155,6,20,Spicy,"Millet, Olive Oil, Salt, Green Chili, Ginger",Total in 25 M,Roast millet lightly. Boil with water and salt. Add ginger and green chili. Cook until soft. Serve warm.,Fiber-rich breakfast for long-lasting energy.,7,2
Moringa Leaves Dosa,155,6,19,"Spicy, Salty","Moringa Leaves, Olive Oil, Salt, Turmeric, Mustard Seeds",Total in 20 M,"Clean and chop moringa leaves. Heat oil, add mustard seeds and turmeric. Sauté leaves 5 mins. Serve with rice or dosa. Garnish optional.","Rich in iron and antioxidants, supports eye health.",8,3
Pearl Millet Pulao - South Indian,165,6,21,Salty,"Pearl Millet, Olive Oil, Salt, Cumin Seeds",Total in 30 M,"Cook pearl millet with water. Heat oil, add cumin seeds. Mix cooked millet with seasoning. Cook 5 mins. Serve warm.","Fiber-rich, supports digestive health.",10,3
Ragi Pulao - Keralite Style,160,6,20,"Salty, Spicy","Ragi Flour, Olive Oil, Salt, Green Chili, Ginger",Total in 25 M,Mix ragi flour with water and salt. Add ginger and chili paste. Cook as pulao with vegetables. Stir occasionally. Serve hot.,Helps regulate blood sugar and provides calcium.,9,3
Wheat Sabzi,150,5,19,Salty,"Wheat, Olive Oil, Salt, Turmeric, Cabbage, Carrot, Beets, Cauliflower, Tomato",Total in 30 M,Make dough with Wheat and water. Roll and steam idli. Steam 10-12 mins. Serve with chutney. Garnish optional.,"Low-GI, suitable for diabetics.",8,3
Buckwheat Mash,145,6,18,Salty,"BuckWheat, Olive Oil, Salt",Total in 20 M,"Boil water. Add buckWheat gradually, stir to avoid lumps. Cook until thick. Drizzle olive oil. Serve warm.","Gluten-free, high-fiber mash for breakfast or snack.",6,2
Ragi Pulao - Maharashtrian Style,160,6,20,Spicy,"Ragi Flour, Olive Oil, Salt, Green Chili, Ginger",Total in 25 M,Mix ragi flour with water and salt. Sauté green chili and ginger in oil. Add to ragi and cook. Stir until soft. Serve hot.,"High-calcium, protein-rich pulao for sustained energy.",5,2
Little Millet Pongal - Mangalorean,160,6,20,"Spicy, Salty","Millet, Olive Oil, Salt, Turmeric, Cumin Seeds",Total in 30 M,"Boil millet. Heat oil, add cumin seeds and turmeric. Mix boiled millet. Cook 5 mins. Serve warm.","Fiber-rich, gluten-free dish ideal for blood sugar management.",4,4
Black Gram Dosa,155,6,19,"Salty, Astringent","Black Gram, Olive Oil, Salt, Turmeric, Cumin Seeds",Total in 25 M,"Soak black gram. Boil until soft. Heat oil, add cumin seeds and turmeric. Mix black gram. Serve.","Protein-dense dosa, supports digestion and energy.",9,2
Spinach Cutlet,145,6,18,"Bitter, Salty","Spinach, Olive Oil, Salt, Garlic, Green Chili",Total in 20 M,"Chop spinach. Heat oil, sauté garlic and chili. Add spinach and cook until wilted. Mash lightly. Serve.","Iron-rich cutlet, aids blood health and satiety.",8,2
Rajgira Pulao - Konkani Style,165,6,21,"Salty, Astringent","Rajgira Flour, Olive Oil, Salt",Total in 25 M,Mix rajgira flour with water and salt. Steam or cook with vegetables. Stir well. Serve hot. Garnish optional.,High-protein gluten-free pulao.,7,3
Oats Upma - Maharashtrian Style,155,6,20,Spicy,"Oats, Olive Oil, Salt, Green Chili, Curry Leaves",Total in 20 M,"Roast oats lightly. Heat oil, sauté chili and curry leaves. Add oats, cook with water. Stir continuously. Serve warm.","Fiber-rich, quick breakfast option.",6,3
Bottle Gourd Pulao,155,6,19,"Salty, Bitter","Bottle Gourd, Olive Oil, Salt, Turmeric, Mustard Seeds",Total in 25 M,"Peel and chop bottle gourd. Heat oil, add mustard seeds and turmeric. Sauté bottle gourd 5 mins. Cook until tender. Serve warm.","Low-calorie, nutrient-dense pulao.",8,3
Black Rice Khichdi - Konkani Style,165,6,21,Spicy,"Black Rice, Olive Oil, Salt, Turmeric, Cumin Seeds",Total in 30 M,"Rinse black rice. Boil with water. Heat oil, add cumin seeds and turmeric. Mix cooked rice. Serve hot.","Fiber-rich, antioxidant-packed dish.",9,3
Black Bean Stuffed Pepper,155,7,20,"Spicy, Salty","Black Beans, Olive Oil, Salt, Green Chili, Garlic",Total in 25 M,"Boil black beans. Heat oil, sauté garlic and chili. Stuff peppers with bean mixture. Bake 10 mins. Serve warm.","Protein-rich stuffed pepper, ideal for snacks or light meals.",6,2
Bottle Gourd Pakora,150,5,18,"Salty, Bitter","Bottle Gourd, Chickpea Flour, Olive Oil, Salt, Turmeric",Total in 25 M,"Peel and chop bottle gourd. Mix with chickpea flour, salt, turmeric. Shape into pakoras. Fry until golden. Serve warm.",High-fiber snack with mild bitterness.,7,2
Ivy Gourd Baked Bites,145,6,18,"Salty, Astringent","Ivy Gourd, Olive Oil, Salt, Turmeric, Mustard Seeds",Total in 25 M,Chop ivy gourd. Mix with turmeric and salt. Bake lightly with oil. Cook 10-12 mins. Serve.,"Healthy baked bites, rich in vitamins.",8,2
Sattu Pongal - Assamese Style,160,6,20,"Spicy, Salty","Sattu Flour, Olive Oil, Salt, Green Chili",Total in 20 M,"Mix sattu flour with water and salt. Heat oil, sauté chili. Cook sattu mixture for 10 mins. Serve warm.",High-protein Assamese-style pongal.,9,2
Black Rice Pulao - Mangalorean,165,6,21,Salty,"Black Rice, Olive Oil, Salt, Turmeric, Mustard Seeds",Total in 30 M,"Rinse black rice. Boil with water and salt. Heat oil, add mustard seeds and turmeric. Mix with rice. Serve warm.","Antioxidant-rich, fiber-dense pulao.",7,2
Foxtail Millet Salad,150,6,19,Spicy,"Foxtail Millet, Olive Oil, Salt, Green Chili, Curry Leaves",Total in 25 M,"Boil foxtail millet. Heat oil, sauté chili and curry leaves. Mix millet with seasoning. Cook 5 mins. Serve.","Light, nutritious salad.",4,2
Wheat Pongal - Keralite Style,160,6,20,Salty,"Wheat, Olive Oil, Salt, Turmeric",Total in 30 M,Make Wheat dough with water and salt. Cook pongal-style with water. Add olive oil. Stir 10 mins. Serve hot.,Traditional pongal for sustained energy.,5,2
Jowar Salad,145,6,18,"Salty, Astringent","Jowar, Olive Oil, Salt, Lemon , Cumin Seeds",Total in 25 M,"Boil jowar grains. Heat oil, add cumin seeds. Mix cooked jowar and Lemon . Cook 5 mins. Serve.",High-fiber salad for digestion and energy.,5,2
Radish and Chana Dal Curry,155,6,20,"Spicy, Salty","Radish, Chana Dal, Olive Oil, Salt, Turmeric, Green Chili",Total in 30 M,"Soak chana dal. Chop radish. Heat oil, add turmeric and chili. Add dal and radish, cook until soft. Serve warm.",Protein-rich curry with subtle radish flavor.,6,2
Rajgira Pulao - Hyderabadi Style,165,6,21,"Salty, Astringent","Rajgira Flour, Olive Oil, Salt,  Cumin Seeds",Total in 25 M,"Mix rajgira flour with water and salt. Heat oil, add cumin seeds. Cook until soft. Serve hot. Garnish optional.",Gluten-free pulao high in protein and fiber.,6,3
Sorghum Dosa - Bihari Style,155,6,19,Spicy,"Sorghum Flour, Olive Oil, Salt, Green Chili",Total in 20 M,"Mix sorghum flour with water and salt. Heat oil, add green chili. Cook batter like dosa. Serve hot.",Light and nutritious Bihari-style dosa.,9,3
Masoor Dal Cheela,150,6,18,Salty,"Masoor Dal, Olive Oil, Salt, Turmeric, Cumin Seeds",Total in 20 M,"Soak masoor dal. Grind into batter. Heat oil, add cumin and turmeric. Cook cheela on pan. Serve warm.",Protein-packed pancake ideal for breakfast.,5,3
Black Gram with Brinjal,155,6,19,"Bitter, Salty","Black Gram, Brinjal, Olive Oil, Salt, Turmeric, Mustard Seeds",Total in 30 M,"Chop brinjal. Boil black gram. Heat oil, add mustard seeds and turmeric. Add brinjal and black gram. Cook 10 mins.",High-protein curry with earthy flavors.,8,4
Buckwheat Cutlet,145,6,18,Salty,"BuckWheat, Olive Oil, Salt, Herbs",Total in 25 M,Mix buckWheat with water and salt. Form patties. Pan-fry lightly. Serve warm.,"Gluten-free cutlet, rich in fiber and protein.",6,2
Carrot Roti,160,6,20,"Salty, Astringent","Carrot, Wheat, Olive Oil, Salt, Turmeric",Total in 25 M,"Grate carrot. Mix with Wheat, salt, and turmeric. Knead into dough. Roll and cook on pan. Serve.","Fiber-rich roti, suitable for healthy meals.",8,3
Peas Wrap,150,6,19,"Salty, Spicy","Peas, Wheat, Olive Oil, Salt, Green Chili",Total in 30 M,"Boil Peas. Mix with Wheat, chili, and salt. Roll into wraps. Cook lightly on pan. Serve warm.",Protein and fiber-packed wrap for light meals.,6,4
Oats Khichdi - South Indian,155,6,20,Spicy,"Oats, Olive Oil, Salt, Turmeric, Cumin Seeds",Total in 20 M,"Roast oats lightly. Heat oil, add cumin and turmeric. Add oats and cook with water. Stir continuously. Serve hot.","Healthy, fiber-rich South Indian khichdi.",7,3
Quinoa Pulao - Konkani Style,165,6,21,"Salty, Astringent","Quinoa, Olive Oil, Salt, Turmeric, Mustard Seeds",Total in 25 M,"Rinse quinoa. Boil with water and salt. Heat oil, add mustard seeds and turmeric. Mix cooked quinoa. Serve warm.",Light and nutritious Konkani-style pulao.,6,3
Brinjal Pakora,150,5,18,Spicy,"Brinjal, Chickpea Flour, Olive Oil, Salt, Turmeric",Total in 25 M,"Chop brinjal. Mix with chickpea flour, turmeric, and salt. Shape into pakoras. Fry until golden. Serve.","Crispy, protein-rich snack.",5,2
Spinach Stew,150,6,19,Salty,"Spinach, Olive Oil, Salt, Garlic",Total in 20 M,"Chop spinach. Heat oil, sauté garlic. Add spinach and cook until soft. Mash lightly. Serve.","Iron-rich, nutrient-dense stew.",6,2
Amaranth Idli - Bengali Style,160,6,20,"Salty, Astringent","Amaranth Flour, Olive Oil, Salt",Total in 25 M,Mix amaranth flour with water and salt. Steam into idli molds. Cook 10-12 mins. Serve warm.,High-protein Bengali-style idli.,8,3
Peas with Okra,155,6,19,"Spicy, Salty","Peas, Okra, Olive Oil, Salt, Turmeric, Green Chili",Total in 30 M,"Boil Peas. Chop okra. Heat oil, sauté chili and turmeric. Add peas and okra. Cook until soft.",Fiber-rich dish for healthy digestion.,1,2
Wheat Pulao - South Indian,165,6,21,Salty,"Wheat, Olive Oil, Salt",Total in 30 M,Mix Wheat with water and salt. Cook with water like pulao. Stir until done. Serve warm.,South Indian-style wheat pulao.,5,2
Toor Dal with Mushroom,155,6,20,"Salty, Spicy","Toor Dal, Mushrooms, Olive Oil, Salt, Turmeric, Green Chili",Total in 25 M,"Boil toor dal. Chop mushrooms. Heat oil, add chili and turmeric. Add dal and mushrooms, cook 10 mins. Serve.",Protein-rich curry with earthy mushroom flavor.,6,2
Fenugreek Leaves Upma,150,6,19,Salty,"Fenugreek Leaves, Olive Oil, Salt",Total in 20 M,Chop fenugreek leaves. Mix with water and salt. Cook with mild heat. Serve warm.,"Nutrient-dense, slightly bitter upma.",5,2
Amaranth Khichdi - Maharashtrian Style,165,6,21,"Spicy, Salty","Amaranth, Olive Oil, Salt, Turmeric, Green Chili",Total in 25 M,"Boil amaranth grains. Heat oil, add chili and turmeric. Mix cooked amaranth. Serve.",High-protein Maharashtrian-style khichdi.,6,2
Millet Upma,155,6,20,Salty,"Millet, Olive Oil, Salt",Total in 25 M,Boil millet with water and salt. Heat oil lightly. Mix well and serve. Garnish optional.,"Simple, nutritious millet upma.",7,2
Ivy Gourd and Urad Dal Curry,155,7,20,"Salty, Bitter","Ivy Gourd, Urad Dal, Olive Oil, Salt, Turmeric",Total in 30 M,"Chop ivy gourd. Boil urad dal. Heat oil, add turmeric. Mix dal and gourd, cook 10 mins. Serve.",Protein-rich curry with mild bitterness.,8,2
Barnyard Millet Cutlet,145,6,18,Salty,"Wheat, Olive Oil, Salt",Total in 25 M,Mix Wheat with water and salt. Shape into cutlets. Pan-fry lightly. Serve warm.,"Healthy, fiber-rich cutlet.",9,3
Brinjal and Lentil Curry,155,6,19,"Bitter, Salty","Brinjal, Lentils, Olive Oil, Salt, Turmeric",Total in 30 M,"Chop brinjal. Boil lentils. Heat oil, add turmeric. Add brinjal and lentils. Cook until soft.","Traditional curry, high in protein and fiber.",6,2
Horse Gram Pakora,150,6,18,Salty,"Horse Gram, Olive Oil, Salt, Chickpea Flour",Total in 25 M,Boil horse gram. Mix with chickpea flour and salt. Shape into pakoras. Pan-fry lightly. Serve.,"Crispy, protein-packed snack.",5,2
Sattu Dosa - Keralite Style,155,6,19,Spicy,"Sattu Flour, Olive Oil, Salt, Green Chili",Total in 25 M,"Mix sattu flour with water and salt. Heat oil, sauté chili. Cook batter like dosa. Serve hot.","Keralite-style sattu dosa, high protein.",4,2
Millet Pulao - Goan Style,165,6,21,Salty,"Millet, Olive Oil, Salt, Turmeric, Cumin Seeds",Total in 25 M,"Boil millet. Heat oil, add cumin and turmeric. Mix cooked millet. Cook 5 mins. Serve.","Goan-style millet pulao, fiber-rich and wholesome.",7,2
Okra Cheela,150,6,18,"Spicy, Salty","Okra, Chickpea Flour, Olive Oil, Salt, Turmeric, Green Chili",Total in 25 M,"Chop okra. Mix chickpea flour, turmeric, salt, chili. Coat okra and pan-fry. Serve hot. Garnish optional.","Crispy and flavorful okra cheela, high in protein.",8,3
Okra Brown Rice Bowl,155,6,19,Salty,"Okra, Brown Rice, Olive Oil, Salt, Turmeric",Total in 30 M,"Boil brown rice and chop okra. Heat oil, sauté okra with turmeric. Mix rice. Cook 5 mins. Serve warm.",Nutritious bowl with fiber-rich brown rice.,7,3
Peas Baked Bites,145,6,18,"Spicy, Astringent","Peas, Olive Oil, Salt, Turmeric, Cumin Seeds",Total in 25 M,"Soak Peas. Mix with turmeric, salt, cumin. Bake until golden. Serve warm. Garnish optional.","Protein-packed baked bites, lightly spiced.",4,2
Barley Dosa - South Indian,155,6,19,Salty,"Barley Flour, Olive Oil, Salt, Cumin Seeds",Total in 20 M,"Mix barley flour, salt, and cumin. Cook batter like dosa. Serve hot. Optional garnish. Enjoy with chutney.",Healthy South Indian-style dosa with nutty flavor.,7,2
Sorghum Patties,150,6,18,"Salty, Spicy","Sorghum Flour, Olive Oil, Salt, Turmeric, Green Chili",Total in 25 M,Mix sorghum flour with spices. Form patties. Pan-fry until golden. Serve hot. Garnish optional.,Protein-rich sorghum patties with mild heat.,8,3
Black Gram Sandwich,160,6,20,Salty,"Black Gram, Olive Oil, Salt, Turmeric, Mustard Seeds, Bread Slices",Total in 30 M,Cook black gram. Mash and season. Spread on bread slices. Toast lightly. Serve.,"Healthy black gram sandwich, protein-packed.",8,3
Dalia Khichdi - Punjabi Style,165,6,21,Spicy,"Dalia, Olive Oil, Salt, Turmeric, Cumin Seeds",Total in 25 M,"Roast dalia. Heat oil, add cumin and turmeric. Add dalia and cook until soft. Serve hot. Garnish optional.",Fiber-rich Punjabi-style khichdi.,7,2
