Recipe Name,Ingredients,Preparation Time,Calories,Protein (g),Fat (g),Carbohydrates (g),Taste,Health Tags,Description,Instructions
Watermelon Salad,"Watermelon, Mint Leaves, Black Salt, Lemon (From List), Sugar",10 min,60,1,0,15,"Sweet, Tangy",Hydration; Potassium Deficiency; Skin Health,Hydrating watermelon salad with antioxidants supports skin health and electrolyte balance.,"1. Cube watermelon. 2. Toss with chopped mint, black salt, lemon juice, and sugar. Serve chilled."
Black Chickpea Curry,"Black Chickpeas, Onions, Tomatoes, Ginger, Garlic, Cumin, Turmeric, Salt, Sesame Oil",50 min,280,14,8,38,"Spicy, Savory",Diabetes; Heart Disease; Protein Deficiency,Protein and fiber-rich black chickpeas curry aids muscle repair and heart health.,"1. Soak and cook chickpeas. 2. Heat oil, saut� onions, garlic, ginger. 3. Add tomatoes, cumin, turmeric, salt; cook till soft. 4. Add chickpeas; simmer 10 min."
Apple Pachadi,"Apples, Yogurt, Mustard Seeds, Green Chili, Salt, Coconut Oil",15 min,110,4,5,14,"Sweet, Mild",Digestive Problems; Skin Health,Fresh apple yogurt pachadi supports digestion and skin nourishment.,"1. Peel and chop apples. 2. Mix with yogurt and salt. 3. Heat oil, temper mustard seeds and chili; add to pachadi. Serve chilled."
Chicken Stew,"Chicken Breasts, Carrots, Potatoes, Cinnamon Stick, Cloves, Onions, Milk, Ghee, Salt",50 min,350,30,18,15,"Mild, Savory",Protein Deficiency; Diabetes; Heart Disease,Nutritious chicken stew with veggies and warming spices supports muscle and heart health.,"1. Heat ghee, saut� onions and spices. 2. Add chicken and chopped veggies; cook 10 min. 3. Add milk and salt; simmer 30 min; serve hot."
Guava Smoothie,"Guava, Yogurt, Honey, Chia Seeds, Flaxseed Oil",10 min,160,5,6,24,"Sweet, Mild",Vitamin Deficiency; Digestive Problems; Skin Health,Nutrient-dense guava smoothie rich in vitamins and fiber supports digestion and skin health.,1. Blend all ingredients until smooth; serve chilled.
Drumstick Leaf Stir Fry,"Drumstick Leaves, Mustard Seeds, Dried Red Chili, Curry Leaves, Salt, Coconut Oil",20 min,130,7,7,10,"Savory, Spicy",Anemia; Heart Disease; Thyroid,"Iron-rich, antioxidant-packed drumstick leaf stir fry supports anemia and thyroid health.","1. Heat oil, temper mustard seeds, chili, curry leaves. 2. Add drumstick leaves, salt; saut� till wilted. Serve warm."
Ice Apple Juice,"Ice Apple, Water, Sugar, Lemon (From List)",10 min,60,1,0,15,"Sweet, Tangy",Hydration; Cold Relief,Refreshing juice rich in electrolytes to combat dehydration and cold symptoms.,"1. Peel and chop ice apple. 2. Blend with water, sugar, and lemon juice; serve chilled."
Paneer Capsicum Stir Fry,"Paneer, Capsicum, Mustard Seeds, Curry Leaves, Green Chili, Salt, Ghee",25 min,240,15,16,8,"Savory, Spicy",Diabetes; Bone & Joint Problems,Protein-packed paneer and capsicum stir fry rich in calcium and vitamins.,"1. Heat ghee, temper mustard seeds, curry leaves, chili. 2. Add capsicum and salt; saut� 5 min. 3. Add paneer cubes; cook 10 min; serve hot."
Sweetcorn Curry,"Sweetcorn, Onions, Tomatoes, Green Chili, Mustard Seeds, Turmeric, Salt, Coconut Oil",30 min,160,4,9,24,"Savory, Mild",Diabetes; Weight Management; Digestive Problems,Creamy sweetcorn curry rich in fiber and vitamins; supports blood sugar and digestion.,"1. Heat oil, temper mustard seeds, chili. 2. Saut� onions and tomatoes; add turmeric and salt. 3. Add sweetcorn; cook 15 min. Serve hot."
Coriander Rice,"Basmati Rice, Coriander Leaves, Green Chili, Mustard Seeds, Salt, Sunflower Oil",25 min,220,5,6,40,"Savory, Mild",Diabetes; Heart Disease; Digestive Problems,Fragrant coriander-flavored rice rich in antioxidants and fiber; supports digestion and heart health.,"1. Cook rice. 2. Heat oil, temper mustard seeds and green chili. 3. Add chopped coriander and salt; saut� briefly. 4. Mix rice, serve warm."
Spinach Coconut Chutney,"Spinach, Coconut, Green Chili, Ginger, Mustard Seeds, Curry Leaves, Salt, Olive Oil",15 min,110,3,8,8,"Savory, Mild",Anemia; Skin & Hair Problems; Digestive Problems,"Nutritious chutney rich in iron, healthy fats, and vitamins supporting blood, skin, and digestion.","1. Blend spinach, coconut, chili, ginger, salt with water. 2. Heat oil, temper mustard seeds and curry leaves; add to chutney. Serve fresh."
Bean Sundal,"Kidney Beans, Mustard Seeds, Curry Leaves, Dried Red Chili, Salt, Sesame Oil",25 min,170,9,4,28,"Savory, Mild",Diabetes; Heart Disease; Protein Deficiency,"Protein-rich kidney bean stir fry supporting blood sugar control, heart health, and muscle maintenance.","1. Boil kidney beans. 2. Heat oil, temper mustard seeds, curry leaves, chili. 3. Add beans and salt; saut� 5 min; serve warm."
Ragi Dosa,"Ragi Flour, Urad Dal, Salt, Water, Ghee",12 hrs ferment + 20 min,180,6,3,28,"Savory, Mild",Diabetes; Bone & Joint Problems; Heart Disease,Calcium-rich ragi dosa supporting bone health and glycemic control.,"1. Soak urad dal, grind. 2. Mix ragi flour and salt; ferment overnight. 3. Spread batter on pan, cook with ghee till crisp; serve hot."
Mixed Vegetable Poriyal,"Cabbage, Carrots, Beans, Mustard Seeds, Urad Dal, Dried Red Chili, Coconut, Salt, Sunflower Oil",20 min,120,3,6,15,"Savory, Mild",Digestive Problems; Weight Management; Heart Disease,Stir-fried veggies with coconut; rich in fiber and healthy fats supporting digestion and weight control.,"1. Heat oil, temper mustard seeds, urad dal, chili. 2. Add vegetables, salt; saut� till tender. 3. Mix in grated coconut; serve warm."
Oats Rasam,"Oats, Tamarind Paste, Mustard Seeds, Curry Leaves, Green Chili, Turmeric, Salt, Olive Oil",20 min,150,5,4,30,"Tangy, Spicy",Diabetes; Weight Management; Digestive Problems,Nutritious oats rasam rich in fiber and antioxidants aiding digestion and glycemic control.,"1. Boil tamarind paste with water. 2. Add oats, turmeric, salt. 3. Temper mustard seeds, curry leaves, chili in oil; combine. Serve hot."
Tomato Upma,"Semolina (Rava), Tomatoes, Mustard Seeds, Green Chili, Curry Leaves, Salt, Ghee",25 min,220,6,9,32,"Savory, Tangy",Diabetes; Heart Disease; Weight Management,"Flavorful upma with tomatoes rich in antioxidants, fiber, and vitamins, supports digestion and heart health.","1. Roast semolina. 2. Heat ghee, temper mustard seeds, chili, curry leaves. 3. Add tomatoes, salt; cook till soft. 4. Add semolina, water; cook till done; serve."
Peanut Chutney,"Peanuts, Dried Red Chili, Tamarind Paste, Salt, Coconut Oil",20 min,180,7,14,12,"Spicy, Savory",Heart Disease; Weight Management; Diabetes,Protein and healthy fat-rich peanut chutney supporting heart health and blood sugar.,"1. Dry roast peanuts, grind with chili, tamarind, salt, coconut. 2. Heat oil; add tempering if desired; serve fresh."
Sweetcorn Sundal,"Sweetcorn, Mustard Seeds, Green Chili, Curry Leaves, Salt, Sunflower Oil",20 min,110,4,2,20,"Savory, Mild",Diabetes; Weight Management; Heart Disease,Fiber-rich sweetcorn sundal supporting blood sugar regulation and cardiovascular health.,"1. Boil corn. 2. Heat oil, temper mustard seeds, curry leaves, chili. 3. Add corn and salt; saut� 3 min; serve warm."
Coconut Rice,"Cooked Rice, Grated Coconut, Mustard Seeds, Curry Leaves, Green Chili, Salt, Ghee",25 min,240,5,9,40,"Savory, Mild",Digestive Problems; Heart Disease,Fragrant coconut rice rich in healthy fats and fiber; supports digestion and heart health.,"1. Heat ghee, temper mustard seeds, curry leaves, chili. 2. Add grated coconut; saut� 2 min. 3. Mix with cooked rice and salt; serve warm."
Kozhukattai (Steamed Rice Dumplings),"Rice Flour, Grated Coconut, Mustard Seeds, Cumin Seeds, Green Chili, Curry Leaves, Salt, Ghee",45 min,180,4,6,32,"Savory, Mild",Diabetes; Digestive Problems; Weight Management,"Steamed rice dumplings with coconut filling; light and nutritious, supporting digestion and blood sugar control.","1. Mix rice flour with hot water, knead dough. 2. Prepare coconut filling with mustard, cumin, chili. 3. Make dumplings; steam 15 min; serve warm."
Avial (Kerala Mixed Vegetable Curry),"Mixed Vegetables (Carrot, Beans, Pumpkin, Drumstick), Coconut, Curry Leaves, Green Chili, Yogurt, Turmeric, Salt, Coconut Oil",40 min,160,4,8,25,"Savory, Mild",Diabetes; Heart Disease; Digestive Problems,"Traditional Kerala vegetable curry rich in fiber, healthy fats, and probiotics; supports heart and digestive health.","1. Cook mixed vegetables. 2. Grind coconut, chili; add yogurt. 3. Mix veggies with coconut paste, turmeric, salt; cook 5 min. Season with curry leaves; serve."
Puttu (Steamed Rice Cake),"Rice Flour, Grated Coconut, Salt",30 min,150,3,3,30,Mild,Diabetes; Weight Management; Digestive Problems,"Soft steamed rice cake with coconut; gluten-free, aids digestion and blood sugar control.",1. Mix rice flour and salt. 2. Layer steamed rice flour and coconut alternately in puttu maker; steam 10-15 min; serve hot.
Fish Moilee (Kerala Fish Curry),"Fish (Salmon Or Crab), Coconut Milk, Green Chili, Curry Leaves, Mustard Seeds, Turmeric, Ginger, Salt, Coconut Oil",40 min,280,28,18,6,"Mild, Savory",Heart Disease; Protein Deficiency; Diabetes,Creamy coconut fish curry rich in omega-3 fatty acids; good for heart health and muscle repair.,"1. Heat oil, temper mustard seeds, curry leaves. 2. Add ginger, chili, turmeric; saut�. 3. Add fish and coconut milk; simmer 20 min; serve hot."
Thoran (Kerala Vegetable Stir Fry),"Cabbage Or Beans, Grated Coconut, Mustard Seeds, Dried Red Chili, Curry Leaves, Salt, Coconut Oil",20 min,110,3,6,15,"Savory, Mild",Digestive Problems; Weight Management; Heart Disease,"Stir-fried veggies with coconut, rich in fiber and antioxidants; promotes digestion and heart health.","1. Heat oil, temper mustard seeds, chili, curry leaves. 2. Add shredded veggies and salt; saut� till cooked. 3. Mix grated coconut; serve warm."
Rasam (South Indian Tangy Soup),"Tamarind Paste, Tomatoes, Mustard Seeds, Garlic, Pepper, Curry Leaves, Cumin, Salt, Ghee",30 min,80,3,3,15,"Tangy, Spicy",Digestive Problems; Anti-inflammatory; Cold Relief,Spicy tamarind and tomato soup with digestive spices; boosts immunity and inflammation control.,"1. Boil tamarind paste and tomatoes. 2. Add cumin, pepper, salt. 3. Temper mustard seeds, garlic, curry leaves in ghee; add to pot. Serve hot."
Appam (Rice Pancake),"Rice Flour, Coconut Milk, Sugar, Yeast, Salt",6-8 hrs ferment + 30 min,180,3,5,35,"Sweet, Mild",Diabetes; Digestive Problems,Soft fermented rice pancake with coconut milk; easy to digest and moderates blood sugar.,"1. Mix rice flour, coconut milk, sugar, yeast; ferment overnight. 2. Pour batter on hot pan, cook covered; serve warm."
Vegetable Stew,"Mixed Vegetables, Potatoes, Carrots, Green Chili, Cinnamon Stick, Cloves, Milk, Ghee",45 min,190,5,10,25,"Mild, Savory",Weight Gain; Digestive Problems,Creamy vegetable stew rich in vitamins and healthy fats; supports digestion and weight management.,"1. Heat ghee, saut� whole spices. 2. Add veggies and chili; saut�. 3. Add milk, salt; simmer till cooked. Serve hot."
Kada Curry (Spicy Beef Curry),"Beef, Onions, Garlic, Green Chili, Curry Leaves, Mustard Seeds, Garam Masala, Salt, Coconut Oil",1 hour,350,30,25,5,"Spicy, Savory",Protein Deficiency; Weight Gain,Spicy beef curry traditional in Kerala; high in protein and calories for muscle and weight gain support.,"1. Heat coconut oil, temper mustard seeds and curry leaves. 2. Saut� onions, garlic, chili. 3. Add beef, masala, salt; simmer 45 min; serve hot."
Vegetable Kurma,"Mixed Vegetables, Green Peas, Carrots, Coconut, Green Chili, Turmeric, Mustard Seeds, Salt, Ghee",35 min,180,5,10,25,"Savory, Mild",Diabetes; Heart Disease; Weight Management,Creamy mixed vegetable curry with coconut; rich in fiber and healthy fats supporting digestion and heart health.,"1. Heat ghee, temper mustard seeds. 2. Add chopped vegetables, turmeric, salt; cook 20 min. 3. Add grated coconut paste; simmer 10 min; serve hot."
Medu Vada,"Urad Dal, Ginger, Green Chili, Cumin Seeds, Curry Leaves, Salt, Ghee",40 min,220,9,12,28,"Savory, Spicy",Diabetes; Digestive Problems; Weight Management,Crispy fried lentil doughnuts rich in protein and fiber; aid digestion and blood sugar control.,"1. Soak urad dal, grind to batter. 2. Add chopped ginger, chili, cumin, salt. 3. Shape into doughnut forms, deep-fry in ghee until golden. Serve hot."
Karimeen Pollichathu,"Pearl Spot Fish, Mustard Seeds, Curry Leaves, Green Chili, Turmeric, Tamarind Paste, Salt, Coconut Oil",40 min,280,30,18,5,"Spicy, Savory",Protein Deficiency; Heart Disease,Kerala-style spicy fried fish with tangy tamarind and aromatic spices supporting protein intake and heart health.,"1. Marinate fish with turmeric, salt, tamarind. 2. Heat coconut oil, temper mustard seeds, curry leaves, chili. 3. Pan-fry fish till cooked. Serve hot."
Ven Pongal,"Rice, Moong Dal, Black Pepper, Ginger, Curry Leaves, Mustard Seeds, Salt, Ghee",30 min,210,8,7,32,"Mild, Savory",Diabetes; Digestive Problems; Heart Disease,Comforting rice and dal porridge with pepper and ginger; anti-inflammatory and digestive properties.,"1. Roast rice. 2. Pressure cook moong dal with water. 3. Heat ghee, temper mustard seeds, curry leaves, pepper, ginger; add rice and dal; cook till soft. Serve warm."
Meen Moilee,"Fish (Salmon Or Crab), Coconut Milk, Mustard Seeds, Curry Leaves, Green Chili, Ginger, Salt, Coconut Oil",40 min,280,28,18,6,"Mild, Savory",Heart Disease; Protein Deficiency; Diabetes,Creamy Kerala fish curry rich in omega-3; supports heart health and muscle repair.,"1. Heat coconut oil, temper mustard seeds, curry leaves. 2. Add ginger, chili; saut�. 3. Add fish and coconut milk; simmer 20 min. Serve hot."
Pesarattu,"Green Gram, Ginger, Green Chili, Cumin Seeds, Salt, Oil",30 min,180,9,3,30,"Savory, Spicy",Diabetes; Protein Deficiency; Digestive Problems,Thin green gram pancakes rich in protein and fiber; supports blood sugar and digestion.,"1. Soak green gram, grind with ginger, chili, cumin, salt. 2. Spread on hot pan, cook both sides with oil. Serve with chutney."
Kootu,"Moong Dal, Snake Gourd Or Ash Gourd, Mustard Seeds, Curry Leaves, Cumin, Asafoetida, Salt, Coconut Oil",30 min,140,7,5,22,"Savory, Mild",Diabetes; Digestive Problems; Weight Management,Lentil and vegetable stew with light spices and coconut; supports digestion and blood sugar control.,"1. Cook dal and vegetable till tender. 2. Heat oil, temper mustard seeds, curry leaves, cumin, asafoetida. 3. Add dal mixture, salt; simmer 5 min. Serve hot."
Ulli Theeyal,"Shallots, Tamarind Paste, Mustard Seeds, Curry Leaves, Dried Chili, Salt, Coconut Oil",25 min,130,3,6,18,"Spicy, Tangy",Digestive Problems; Heart Disease,Roasted shallots in tamarind sauce rich in antioxidants promoting heart and digestive health.,"1. Roast shallots till brown. 2. Boil tamarind with water and salt. 3. Heat oil, temper mustard seeds, curry leaves, chili; add tamarind mix. 4. Add shallots; simmer 10 min. Serve."
Chicken Chettinad,"Chicken Breasts, Coconut, Red Chili Powder, Fennel Seeds, Cinnamon, Cloves, Garlic, Mustard Seeds, Curry Leaves, Salt, Sesame Oil",50 min,350,30,20,8,"Spicy, Savory",Protein Deficiency; Heart Disease; Diabetes,Flavorful Chettinad-style chicken curry with aromatic spices; supports muscle and heart health.,"1. Heat oil, temper mustard seeds, curry leaves. 2. Roast spices, grind with coconut. 3. Saut� garlic, add chicken, spice paste, salt; cook till done. Serve hot."
Thalassery Biryani,"Basmati Rice, Chicken, Onions, Tomatoes, Ginger, Garlic, Cinnamon, Cloves, Cardamom, Yogurt, Ghee",1 hr,450,28,18,50,"Spicy, Savory",Diabetes; Protein Deficiency; Heart Disease,"Aromatic Kerala style biryani rich in protein, carbs, and spices; supports energy and muscle health.",1. Marinate chicken with spices and yogurt. 2. Cook rice with whole spices. 3. Layer chicken and rice; cook on low heat 20-30 min. Serve hot.
Ice Apple Drink,"Ice Apple, Water, Sugar, Lemon",10 min,60,1,0,15,"Sweet, Tangy",Cold / Cold Relief,Hydrating ice apple cools and relieves cold symptoms.,"Peel ice apple, chop. Blend with water, sugar, lemon juice. Serve chilled."
Millet Pongal,"Millet, Moong Dal, Ginger, Cumin Seeds, Curry Leaves, Mustard Seeds, Salt, Ghee",30 min,210,7,6,35,"Savory, Mild",Diabetes; Digestive Problems,High-fiber millet combined with protein-rich moong dal supports digestion and blood sugar control.,"Soak and roast millet. Pressure cook moong dal. Temper mustard seeds, cumin, ginger, curry leaves in ghee; add millet and dal; cook till soft. Serve warm."
Curry Leaf Chutney,"Curry Leaves, Green Chili, Tamarind Paste, Mustard Seeds, Salt, Coconut Oil",15 min,80,1,5,6,Spicy,Anti-inflammatory; Digestive Problems,Antioxidant rich curry leaf chutney aids in reducing inflammation and improving digestion.,"Blend curry leaves, chili, tamarind, salt. Temper mustard seeds in hot coconut oil; mix with chutney. Serve fresh."
Jackfruit Sundal,"Jackfruit, Mustard Seeds, Urad Dal, Curry Leaves, Dried Red Chili, Salt, Sesame Oil",25 min,140,4,6,20,"Savory, Mild",Obesity; Digestive Problems,Fiber-rich jackfruit sundal aids digestion and supports weight loss.,"Boil jackfruit pieces. Temper mustard seeds, urad dal, curry leaves, chili in sesame oil; add jackfruit and salt; saut� briefly; serve warm."
Tuna Curry,"Tuna Fish, Mustard Seeds, Curry Leaves, Tamarind Paste, Turmeric, Chili, Salt, Coconut Oil",30 min,250,26,15,3,"Spicy, Savory",Heart Disease; Protein Deficiency,Omega-3 rich tuna curry beneficial for heart health and muscle maintenance.,"Temper mustard seeds and curry leaves in coconut oil; add tamarind, turmeric, chili, salt; simmer. Add tuna; cook 15 min; serve hot."
Bitter Gourd Stir Fry,"Bitter Gourd, Mustard Seeds, Dried Chili, Turmeric, Salt, Coconut Oil",20 min,90,3,3,12,"Bitter, Savory",Cholesterol; Diabetes,Bitter gourd helps manage cholesterol and control blood sugar.,"Temper mustard seeds and chili in coconut oil; add sliced bitter gourd, turmeric, salt; stir fry till cooked."
Beetroot Pachadi,"Beetroot, Yogurt, Mustard Seeds, Green Chili, Salt, Oil",15 min,120,4,5,12,"Mild, Savory",High Blood Pressure; Anemia,Beetroot yogurt pachadi offers iron and potassium supporting blood pressure regulation and anemia therapy.,Boil and grate beetroot. Mix with yogurt. Temper mustard seeds and chili in oil; combine. Serve chilled.
Lemon Rice,"Cooked Rice, Mustard Seeds, Curry Leaves, Green Chili, Ginger, Turmeric, Salt, Sesame Oil",20 min,250,5,8,40,"Tangy, Pungent",Digestive Problems; Cold Relief,Lemon and tempering improve digestion and boost immunity.,"Temper mustard seeds, chana dal, peanuts, curry leaves, ginger, chili, turmeric in sesame oil; add rice, salt; mix in lemon juice and coriander. Serve warm."
Drumstick Leaves Soup,"Drumstick Leaves, Garlic, Mustard Seeds, Dried Red Chili, Tamarind Paste, Salt, Avocado Oil",25 min,130,7,7,10,"Spicy, Mild",Anemia; Thyroid,Nutrient-rich drumstick leaves soup supports anemia and thyroid function.,"Temper mustard seeds, garlic, dried chili in avocado oil; add drumstick leaves, tamarind, salt; simmer till tender. Serve warm."
Paneer Vegetable Curry,"Paneer, Carrots, Peas, Capsicum, Ginger, Mustard Seeds, Curry Leaves, Turmeric, Salt, Ghee",35 min,280,14,18,15,"Savory, Mild",Weight Gain / Underweight Care,Protein-rich paneer curry supports healthy weight gain and muscle building.,"Temper mustard seeds and curry leaves in ghee; saut� ginger. Add veggies, turmeric and salt; cook 10 min. Add paneer, cook 5 min; serve hot."
Carrot Ginger Soup,"Carrots, Ginger, Garlic, Salt, Water, Butter",30 min,140,3,6,20,Mild,Eye Health / Vision Care,"Rich in beta-carotene and antioxidants, supports vision and reduces inflammation.","Boil carrots, ginger, garlic; blend smooth. Heat butter, add soup and salt; warm and serve."
Tulsi Mint Chutney,"Tulsi Leaves, Mint Leaves, Coriander Leaves, Green Chili, Garlic, Salt, Lemon Juice, Olive Oil",15 min,50,2,4,6,"Spicy, Tangy",Dental & Oral Health,Antiseptic-rich herbs supporting oral health and fresh breath.,Blend all ingredients with water; temper mustard seeds in olive oil and add. Serve fresh.
Coconut Chutney,"Fresh Grated Coconut, Green Chili, Ginger, Mustard Seeds, Curry Leaves, Salt, Water, Coconut Oil",15 min,110,2,10,6,"Savory, Spicy",Skin & Hair Problems,Healthy fats and antioxidants nourish skin and support hair health.,Grind all except tempering ingredients with water. Temper mustard seeds and curry leaves in coconut oil; add to chutney. Serve fresh.
Mutton Bone Soup,"Mutton Bones, Garlic, Onions, Pepper, Salt, Bay Leaf, Water",1 hour,300,25,18,5,"Savory, Pungent",Tuberculosis,Nutrient-dense protein soup boosts immunity and aids recovery.,"Boil bones with garlic, onions, pepper, bay leaf, salt in water until tender. Strain and serve hot."
Beetroot Poriyal,"Beetroot, Mustard Seeds, Urad Dal, Dried Red Chili, Curry Leaves, Salt, Oil",20 min,90,3,4,10,"Savory, Mild",Anemia,Iron-rich beetroot stir fry supports hemoglobin synthesis and blood health.,"Temper mustard seeds, urad dal, chili, curry leaves in oil; add grated beetroot and salt; cook till tender. Serve warm."
Quinoa Vegetable Salad,"Quinoa, Cucumber, Tomatoes, Onions, Coriander Leaves, Lemon, Salt, Olive Oil",20 min,210,7,5,30,"Tangy, Savory",Vitamin Deficiency,Quinoa salad packed with proteins and vitamins supports nutritional balance and energy.,"Cook quinoa, cool. Chop veggies; mix all with lemon juice, salt, olive oil; serve fresh."
Soya Chunks Curry,"Soya Chunks, Onions, Tomatoes, Ginger, Garlic, Mustard Seeds, Curry Leaves, Turmeric, Salt, Canola Oil",40 min,280,25,10,20,"Spicy, Savory",Protein Deficiency,Protein-rich vegetarian curry supports muscle building and blood sugar control.,"Soak soya chunks. Temper mustard seeds, curry leaves in oil; saut� onions, garlic, ginger, tomatoes, spices, and salt. Add soya chunks; cook 20 min. Serve hot."
Carrot Beetroot Juice,"Carrots, Beetroot, Ginger, Lemon, Water, Honey",10 min,90,2,0,20,"Sweet, Tangy",Skin Health,Vitamin and antioxidant-rich juice supports skin nourishment and detoxification.,"Juice carrots, beetroot, ginger; mix with lemon juice, honey, and water; serve chilled."
Ragi Roti,"Ragi Flour, Salt, Water",15 min,150,4,1,32,Savory,Diabetes; Bone & Joint Problems,Gluten-free flatbread rich in fiber and calcium supports bone health and glycemic control.,Mix ragi flour and salt with water to make dough. Roll into flatbreads and cook on pan until golden. Serve warm.
Green Gram Sundal,"Green Gram, Mustard Seeds, Curry Leaves, Dried Red Chili, Salt, Sunflower Oil",25 min,150,9,5,25,"Savory, Mild",Diabetes; Heart Disease; Weight Management,Protein-rich green gram stir fry supports heart health and weight control.,"Boil green gram. Heat oil; temper mustard seeds, curry leaves, chili. Add green gram and salt; saut� 5 min; serve warm."
Pumpkin Porridge,"Pumpkin, Oats, Jaggery, Milk",20 min,180,5,6,32,"Sweet, Mild",Digestive Problems; Vitamin Deficiency,Fiber and vitamin-rich pumpkin oats porridge aids digestion and immunity.,Boil pumpkin and oats in milk until cooked. Add jaggery; serve warm.
Tomato Chutney,"Tomatoes, Mustard Seeds, Dried Red Chili, Tamarind Paste, Salt, Coconut Oil",15 min,90,2,5,14,"Tangy, Spicy",Digestive Problems; Heart Disease,"Rich in antioxidants and vitamins, this chutney supports digestion and cardiovascular health.","Heat oil, temper mustard seeds and chili. Add chopped tomatoes and tamarind, cook till soft. Blend and serve fresh."
Mushroom Pepper Fry,"Mushrooms, Black Pepper, Mustard Seeds, Curry Leaves, Salt, Canola Oil",20 min,130,4,7,10,"Savory, Spicy",Anti-inflammatory; Heart Disease,Mushrooms rich in antioxidants and fiber reduce inflammation and support heart health.,"Heat oil, temper mustard seeds and curry leaves. Add garlic, mushrooms, pepper, salt; saut� till cooked. Serve hot."
Ragi Malt,"Ragi Flour, Jaggery, Milk, Cardamom",30 min,200,6,7,35,"Sweet, Mild",Diabetes; Bone & Joint Problems,Calcium and fiber-rich ragi malt aids bone health and blood sugar control.,"Boil milk, add ragi flour slowly, stirring to avoid lumps. Cook till thick, add jaggery and cardamom. Serve warm."
Sweet Corn Soup,"Sweetcorn, Vegetable Broth, Black Pepper, Salt, Ghee",25 min,120,3,5,18,"Mild, Savory",Digestive Problems; Weight Management,"Light, fiber-rich soup aiding digestion and weight control.","Boil sweetcorn in broth, slightly blend, season with salt and pepper. Heat ghee, add to soup. Serve warm."
Banana Porridge,"Banana, Oats, Milk, Sugar",20 min,190,5,3,40,"Sweet, Mild",Diabetes; Digestive Problems,Natural sweetness from banana and fiber-rich oats support blood glucose control and digestion.,"Boil oats in milk, add mashed banana and sugar, cook till thick. Serve warm."
Tamarind Rice,"Cooked Rice, Tamarind Paste, Mustard Seeds, Green Chili, Curry Leaves, Dried Red Chili, Salt, Sesame Oil",20 min,250,5,8,45,"Tangy, Spicy",Digestive Problems; Heart Disease,Tangy tamarind with fiber-rich rice supports digestion and heart health.,"Heat sesame oil, temper mustard seeds, chilies. Add tamarind paste and salt; cook 5 min. Mix in rice and curry leaves, serve warm."
Mango Salad,"Mango, Onion, Green Chili, Black Salt, Lemon, Coriander Leaves",15 min,70,1,0,18,"Sweet, Tangy",Vitamin Deficiency; Skin Health,Vitamin-rich mango salad helps immunity and skin nourishment.,"Chop mango and onions. Toss with chili, black salt, lemon juice, coriander. Serve fresh."
Green Peas Poriyal,"Green Peas, Mustard Seeds, Curry Leaves, Dried Red Chili, Salt, Sunflower Oil",20 min,120,6,4,20,"Mild, Savory",Diabetes; Heart Disease; Weight Management,Protein-rich sweet peas help regulate blood sugar and support cardiovascular health.,"Boil peas. Temper mustard seeds, curry leaves, dried red chili in oil. Add peas and salt; saut� and serve warm."
Cabbage Thoran,"Cabbage, Mustard Seeds, Urad Dal, Curry Leaves, Dried Chili, Salt, Sunflower Oil",20 min,110,3,5,15,"Savory, Mild",Digestive Problems; Weight Management,Fiber-rich cabbage stir fry supports digestion and weight control.,"Heat oil, temper mustard seeds, urad dal, curry leaves, dried chili. Add shredded cabbage and salt; saut� till tender. Mix in grated coconut, serve."
Guava Juice,"Guava, Water, Sugar, Lemon",10 min,80,1,0,20,"Sweet, Tangy",Vitamin Deficiency; Immune Support,Vitamin C-rich guava juice boosts immunity and vitamin levels.,"Blend guava with water, sugar, and lemon juice. Serve chilled."
Snake Gourd Kootu,"Snake Gourd, Moong Dal, Mustard Seeds, Curry Leaves, Cumin, Asafoetida, Salt, Coconut Oil",30 min,140,7,5,22,"Savory, Mild",Diabetes; Digestive Problems; Weight Management,Lentil and snake gourd stew with spices and coconut; supports digestion and blood sugar control.,"Cook dal and chopped snake gourd till soft. Heat coconut oil, temper mustard seeds, curry leaves, cumin, asafoetida. Add dal mix, salt; simmer 5 min. Serve hot."
Black Gram Dosa,"Black Gram (Ulundhu), Rice, Salt, Water",12 hrs ferment + 20 min,180,7,2,30,"Savory, Mild",Diabetes; Digestive Problems; Weight Management,"Nutrient-rich dosa made with black gram and rice, rich in protein and fiber supporting blood sugar control.","Soak black gram and rice, grind to batter; ferment overnight. Spread on hot pan, cook both sides with little oil. Serve with chutney or sambar."
Puliogare (Tamarind Rice),"Cooked Rice, Tamarind Paste, Mustard Seeds, Dried Red Chili, Curry Leaves, Hing, Salt, Sesame Oil",25 min,260,5,6,45,"Tangy, Spicy",Digestive Problems; Heart Disease,Tangy tamarind flavored rice with digestive spices and sesame oil supports gut and heart health.,"Heat sesame oil, temper mustard seeds, dried chili, curry leaves, hing. Add tamarind paste and salt; cook 5 min. Mix with rice; serve warm."
Raw Mango Pachadi,"Raw Mango, Mustard Seeds, Green Chili, Curry Leaves, Yogurt, Salt, Coconut Oil",20 min,130,4,7,12,"Tangy, Mild",Digestive Problems; Vitamin Deficiency,Tangy raw mango yogurt pachadi boosts digestion and vitamin levels.,"Boil and grate raw mango. Mix with yogurt and salt. Heat coconut oil, temper mustard seeds, chili, curry leaves; add to mixture. Serve chilled."
