Food Name,Calories,Protein_g,Carbohydrates_g,taste,Ingredients,prep_time,Instruction,Description,Fat,No_serving,
Radish Leaves Handvo,260,9,38,Bitter,"Radish Leaves, Rice, Lentils, Yogurt, Green Chili, Curry Leaves",Total in 30 Min,"Cook rice with mixed lentils, stir in yogurt, chopped radish leaves, and green chili, and temper with curry leaves if desired.",Traditional Gujarati Savory Cake With Greens,8,4,
Radish Leaves Dhokla,200,6,30,Astringent,"Radish Leaves, Chickpea Flour, Yogurt, Lemon Juice, Green Chili, Salt",Total in 18 Min,"Whisk chickpea flour with yogurt, lemon juice, chopped radish leaves, green chili, and salt; steam or set as dhokla-like bites.",Fluffy Steamed Snack Infused With Radish Leaves,4,4,
Radish Leaves Usili,240,10,26,Bitter,"Radish Leaves, Toor Dal, Red Chili, Curry Leaves, Salt, Oil",Total in 25 Min,"Cook toor dal; temper curry leaves and red chili in oil, add chopped radish leaves and salt, then mix into the dal.",Protein-Rich Dal Crumble With Greens,7,3,
Radish Leaves Adai,250,11,34,Salty,"Radish Leaves, Rice, Mixed Lentils, Green Chili, Ginger, Salt",Total in 20 Min,"Cook rice with mixed lentils, green chili, and grated ginger; fold in chopped radish leaves with salt to finish.",Crispy Lentil-Rice Pancake With Leafy Goodness,6,3,
Radish Leaves Puttu,190,5,35,Sweet,"Radish Leaves, Rice Flour, Grated Coconut, Salt, Jaggery",Total in 25 Min,"Mix rice flour, grated coconut, chopped radish leaves, jaggery, and a pinch of salt; pat sweet rotis and cook on a tawa.",Traditional Steamed Dish With Sweet Leafy Flavor,3,2,
Radish Leaves Pesarattu,220,9,33,Astringent,"Radish Leaves, Green Gram, Ginger, Green Chili, Onion, Salt",Total in 22 Min,"Boil green gram until just tender; sauté ginger, green chili, and onion in a little oil, add radish leaves and salt, and toss briefly.",Nutritious Andhra Crepe With Leafy Twist,5,2,
Radish Leaves Pulao With Greens,260,7,42,Salty,"Radish Leaves, Basmati Rice, Onion, Tomato, Green Chili, Garam Masala, Salt",Total in 25 Min,"Cook basmati rice; sauté onion, tomato, and green chili with garam masala and salt, add chopped radish leaves, then fold into rice.",Aromatic Rice Dish With Spiced Leafy Flavors,8,4,
Radish Leaves Steamed,120,4,18,Bitter,"Radish Leaves, Salt, Lemon Juice",Total in 15 Min,Dress chopped radish leaves with salt and lemon juice and serve.,Simple Steamed Leafy Side Dish,2,2,
Radish Leaves Pan-Fried,150,5,20,Salty,"Radish Leaves, Onion, Garlic, Green Chili, Salt, Oil",Total in 18 Min,"Sauté onion, garlic, and green chili in a little oil, add chopped radish leaves and salt, and cook until wilted.",Quick Pan-Fried Greens With Aromatic Flavor,5,2,
Radish Leaves Stir Fry,170,6,24,Astringent,"Radish Leaves, Carrot, Beans, Mustard Seeds, Salt, Oil",Total in 20 Min,"Stir-fry diced carrot and beans with mustard seeds in oil, add chopped radish leaves, salt, and finish tender-crisp.",Healthy Crunchy Stir Fry With Mixed Veggies,6,3,
Radish Leaves Smoked,130,4,16,Bitter,"Radish Leaves, Garlic, Olive Oil, Rock Salt",Total in 15 Min,"Sauté sliced garlic in olive oil, add radish leaves with rock salt, and cook just until wilted.",Smoky Leafy Side With Strong Flavors,3,2,
Radish Leaves Marinated,140,5,22,Astringent,"Radish Leaves, Lemon Juice, Yogurt, Salt, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala",Total in 18 Min,"Whisk lemon juice with yogurt, salt, turmeric, red chili, coriander, cumin, and garam masala; fold in chopped radish leaves.",Refreshing Marinated Salad With Tangy Taste,4,2,
Radish Leaves Stuffed,220,7,32,Salty,"Radish Leaves, Wheat Flour, Onion, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala, Oil",Total in 25 Min,"Mix wheat flour with chopped radish leaves, onion, and spice powders with salt; roll and pan-cook parathas.",Nutritious Stuffed Paratha With Leafy Flavor,7,2,
Radish Leaves Rolls,200,6,30,Sweet,"Radish Leaves, Rice Flour, Jaggery, Coconut, Salt",Total in 22 Min,"Mix rice flour, jaggery, grated coconut, chopped radish leaves, and a pinch of salt; steam or pan-cook sweet pancakes.",Traditional Sweet Rolls With Healthy Greens,5,3,
Radish Leaves Balls,190,6,28,Salty,"Radish Leaves, Chickpea Flour, Onion, Chili, Oil",Total in 20 Min,"Mix chickpea flour with chopped radish leaves, onion, chili, salt, and water; shallow-fry small fritters.",Bite-Sized Healthy Balls Perfect For Snacks,6,4,
Radish Leaves Crisps,160,4,18,Salty,"Radish Leaves, Rice Flour, Salt, Oil",Total in 15 Min,"Mix rice flour, chopped radish leaves, salt, and water; pat rotis and cook on a tawa with a little oil.",Crunchy Crisps Made From Leafy Greens,7,3,
Radish Leaves Chips,150,3,16,Bitter,"Radish Leaves, Olive Oil, Rock Salt",Total in 12 Min,Dress radish leaves with olive oil and rock salt and serve.,Baked Crispy Chips With Low Oil,5,2,
Radish Leaves Raita With Greens,130,5,14,Astringent,"Radish Leaves, Yogurt, Cucumber, Salt, Roasted Cumin",Total in 10 Min,"Mix chopped radish leaves with yogurt, cucumber, salt, and roasted cumin, and chill as raita.",Cooling Yogurt-Based Side With Leafy Twist,3,2,
Dill Leaves Curry,200,7,28,Bitter,"Dill Leaves, Onion, Tomato, Garlic, Chili, Salt, Oil",Total in 22 Min,"Sauté onion, tomato, garlic, and chili with oil and salt, add chopped dill leaves, and cook briefly.",Aromatic Herbal Curry With Strong Dill Flavor,7,3,
Dill Leaves Fry,160,5,20,Salty,"Dill Leaves, Onion, Green Chili, Mustard Seeds, Oil",Total in 15 Min,"Sizzle mustard seeds in oil, add onion and green chili, toss in chopped dill leaves and salt, and sauté just until fragrant.",Quick And Simple Dill Fry,5,2,
Dill Leaves Masala,210,6,32,Astringent,"Dill Leaves, Onion, Tomato, Garam Masala, Ginger, Garlic, Salt",Total in 20 Min,"Sauté onion, tomato, ginger, and garlic with garam masala and salt in oil, then add chopped dill leaves and simmer.",Spicy Masala Curry With Herbal Notes,6,3,
Dill Leaves Stew,190,6,26,Bitter,"Dill Leaves, Coconut Milk, Onion, Garlic, Turmeric, Salt",Total in 18 Min,"Sauté onion and garlic with turmeric and salt in oil, add coconut milk and chopped dill leaves, and simmer gently.",Mild Coconut-Based Stew With Distinct Dill Flavor,7,2,
Dill Leaves Raita,120,4,12,Astringent,"Dill Leaves, Yogurt, Salt, Roasted Cumin, Green Chili",Total in 10 Min,"Whisk yogurt with salt, roasted cumin, and chopped green chili; fold in chopped dill leaves and chill.",Refreshing Yogurt Dip With Herbal Twist,3,2,
Dill Leaves Poriyal,170,6,22,Salty,"Dill Leaves, Grated Coconut, Mustard Seeds, Curry Leaves, Oil, Salt",Total in 15 Min,"Splutter mustard seeds and curry leaves in oil, add grated coconut, chopped dill leaves, and salt, and toss on low heat.",South Indian Style Dry Fry With Dill,5,2,
Dill Leaves Thoran,180,6,24,Bitter,"Dill Leaves, Coconut, Green Chili, Mustard Seeds, Curry Leaves, Oil",Total in 18 Min,"Blend coconut, green chili, garlic, and lemon juice with salt; stir in finely chopped dill leaves as a fresh chutney.",Traditional Kerala-Style Leafy Side Dish,6,2,
Dill Leaves Thoran With Coconut,190,6,26,Sweet,"Dill Leaves, Grated Coconut, Onion, Green Chili, Mustard Seeds, Oil",Total in 20 Min,"Sauté grated coconut, onion, and green chili with mustard seeds in oil, add chopped dill leaves and salt, and cook briefly.",Coconut-Enriched Herbal Side Dish,7,3,
Dill Leaves Pickle,150,4,16,Salty,"Dill Leaves, Mustard Oil, Salt, Red Chili Powder, Turmeric",Total in 12 Min,"Warm mustard oil, add salt, red chili powder, turmeric, and chopped dill leaves, and toss to a quick pickle-style relish.",Spicy Tangy Pickle With Unique Dill Aroma,8,4,
Dill Leaves Biryani,300,8,48,Salty  Bitter,"Dill Leaves, Basmati Rice, Onion, Tomato, Ginger, Garlic, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala, Salt",Total in 30 Min,"Cook basmati rice; sauté onion and tomato with spice powders and salt in oil, add chopped dill leaves, then fold into rice.",Aromatic Herbal Biryani Infused With Dill Flavor,9,4,
Dill Leaves Khichdi,250,9,42,Bitter,"Dill Leaves, Rice, Moong Dal, Ginger, Garlic, Salt, Turmeric",Total in 25 Min,"Cook rice and moong dal with ginger, garlic, turmeric, and salt; mash lightly and stir in chopped dill leaves.",Comforting Khichdi With Herbal Twist,7,3,
Dill Leaves Upma,220,7,36,Salty,"Dill Leaves, Rava, Onion, Green Chili, Curry Leaves, Salt, Oil",Total in 20 Min,"Dry-roast rava; temper curry leaves and green chili in oil, sauté onion and chopped dill leaves, add hot water and salt, and cook to upma.",Soft Savory Upma With Refreshing Dill Aroma,6,2,
Dill Leaves Paratha,260,8,38,Bitter  Salty,"Dill Leaves, Wheat Flour, Yogurt, Salt, Oil",Total in 22 Min,"Knead wheat flour with yogurt, chopped dill leaves, salt, and a little oil; rest, roll, and cook parathas.",Wheat Paratha Packed With Herbal Goodness,8,2,
Dill Leaves Tikki,210,6,32,Salty,"Dill Leaves, Potato, Chickpea Flour, Onion, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala, Oil",Total in 18 Min,"Mix boiled potato, chickpea flour, onion, dill, spice powders, and salt; shape and shallow-fry cutlets.",Crispy Cutlets With Dill And Potato,7,3,
Dill Leaves Kebab,240,10,30,Bitter  Astringent,"Dill Leaves, Green Gram, Onion, Chili, Ginger, Garlic, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala",Total in 22 Min,"Sauté green gram with onion, chili, ginger, and garlic plus spice powders and salt; add chopped dill and finish.",Protein-Rich Herbal Kebabs,8,4,
,,,,,,,,,,,
Dill Leaves Grilled,180,6,24,Bitter  Salty,"Dill Leaves, Olive Oil, Garlic, Rock Salt",Total in 15 Min,Sauté chopped dill leaves in olive oil with minced garlic and rock salt for a quick warm salad.,Char-Grilled Herbal Greens,5,2,
Dill Leaves Baked,170,5,22,Bitter,"Dill Leaves, Bread Crumbs, Cheese, Salt, Oil",Total in 20 Min,"Mix bread crumbs with grated cheese, chopped dill leaves, salt, and a little oil; bake as crunchy toppers.",Crispy Baked Snack With Mild Herbal Notes,7,2,
Dill Leaves Roast,160,5,20,Bitter  Salty,"Dill Leaves, Mustard Oil, Garlic, Salt",Total in 18 Min,"Warm mustard oil, toss chopped dill leaves with minced garlic and salt, and serve as a quick relish.",Rustic Roasted Side Dish,6,2,
Dill Leaves Stuffed Paratha,270,9,40,Bitter,"Dill Leaves, Wheat Flour, Onion, Chili, Salt, Oil",Total in 25 Min,"Mix wheat flour with onion, chopped chili, chopped dill leaves, salt, and oil to a soft dough; roll and cook parathas.",Delicious Paratha With Dill Stuffing,9,2,
Dill Leaves Sandwich,230,7,34,Salty,"Dill Leaves, Bread, Butter, Onion, Tomato, Cheese, Salt",Total in 12 Min,"Toast buttered bread, layer sautéed onion and tomato with grated cheese and chopped dill leaves, salt lightly, and grill.",Quick Herbal Sandwich,8,2,
Dill Leaves Salad,140,5,18,Bitter  Astringent,"Dill Leaves, Cucumber, Tomato, Onion, Lemon Juice, Rock Salt",Total in 10 Min,"Toss chopped dill leaves, cucumber, tomato, and onion with lemon juice and rock salt, and chill.",Refreshing Salad With Herbal Punch,3,2,
Dill Leaves Smoothie,160,6,26,Sweet  Bitter,"Dill Leaves, Banana, Yogurt, Honey",Total in 8 Min,"Blend dill leaves, banana, and yogurt with honey until smooth and serve cold.",Unusual But Refreshing Herbal Smoothie,4,2,
Dill Leaves Milkshake,180,7,28,Sweet,"Dill Leaves, Milk, Jaggery, Cardamom",Total in 10 Min,"Simmer milk with chopped dill leaves and a little jaggery, finish with a pinch of cardamom.",Sweet And Creamy Herbal Milkshake,5,2,
Dill Leaves Chutney,150,4,16,Bitter  Astringent,"Dill Leaves, Coconut, Green Chili, Garlic, Lemon Juice, Salt",Total in 12 Min,"Grind coconut, green chili, garlic, lemon juice, and salt, then fold in chopped dill leaves and serve.",Tangy And Spicy Herbal Chutney,4,3,
Dill Leaves Sundal,210,9,28,Salty,"Dill Leaves, Chickpeas, Curry Leaves, Mustard Seeds, Coconut, Oil",Total in 20 Min,"Sauté curry leaves and mustard seeds in oil, add chickpeas, coconut, chopped dill leaves, and salt, and toss on low heat.",Protein-Packed South Indian Style Snack,6,3,
Dill Leaves Kofta,240,8,32,Bitter,"Dill Leaves, Chickpea Flour, Onion, Green Chili, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala, Oil",Total in 25 Min,"Mix chickpea flour with onion, green chili, chopped dill leaves, spice powders, and salt; shallow-fry spoonfuls until crisp.",Crunchy Kofta With Herbal Goodness,9,3,
Dill Leaves Kadhi,190,6,24,Astringent,"Dill Leaves, Yogurt, Chickpea Flour, Curry Leaves, Green Chili, Salt",Total in 20 Min,"Whisk yogurt with chickpea flour, curry leaves, chopped green chili, salt, and chopped dill leaves; simmer to thicken.",Light Yogurt-Based Curry With Herbal Twist,5,3,
Dill Leaves Uttapam,230,7,36,Salty  Bitter,"Dill Leaves, Rice Batter, Onion, Tomato, Chili, Salt",Total in 22 Min,"Spread rice batter with chopped dill, onion, tomato, and chili, salt lightly, and cook uttapam-style on a tawa.",Soft Uttapam With Herbal Topping,6,2,
Dill Leaves Handvo,260,9,36,Salty  Bitter,"Dill Leaves, Rice, Lentils, Yogurt, Green Chili, Ginger, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala",30 Min,"Cook rice with lentils, grated ginger, green chili, spice powders, and salt; fold in chopped dill leaves and finish.",Gujarati Handvo With Dill Herbal Twist,8,3,
Dill Leaves Dhokla,220,7,32,Salty,"Dill Leaves, Gram Flour, Yogurt, Green Chili, Curry Leaves, Mustard Seeds",20 Min,"Whisk gram flour with yogurt, chopped dill, green chili, curry leaves, mustard seeds, and salt; steam or pan-set as savory cakes.",Fluffy Dill-Infused Steamed Snack,6,4,
Dill Leaves Usili,200,8,24,Bitter  Astringent,"Dill Leaves, Chana Dal, Red Chili, Curry Leaves, Salt",22 Min,"Toss cooked chana dal with red chili and curry leaves tempered in oil, add chopped dill leaves and salt, and mix.",South Indian Protein-Rich Herbal Usili,7,3,
Dill Leaves Adai,240,10,34,Salty,"Dill Leaves, Rice, Toor Dal, Chana Dal, Chili, Ginger",25 Min,Cook rice with toor and chana dal plus chopped chili and ginger; finish with chopped dill leaves.,Nutritious Multigrain Pancake With Dill,6,3,
Dill Leaves Puttu,210,6,30,Bitter,"Dill Leaves, Rice Flour, Coconut, Salt",18 Min,"Mix rice flour, grated coconut, chopped dill leaves, salt, and water to a soft dough; pat and cook rotis on a tawa.",Kerala-Style Steamed Herbal Puttu,5,2,
Dill Leaves Pesarattu,230,9,32,Salty  Bitter,"Dill Leaves, Green Gram, Ginger, Chili, Salt",20 Min,"Boil green gram until just tender; sauté grated ginger and chili in a little oil, add chopped dill leaves and salt, and toss briefly.",Protein-Rich Andhra Pesarattu With Herbal Twist,6,3,
Dill Leaves Pulao with Greens,270,8,42,Salty,"Dill Leaves, Basmati Rice, Mustard Greens,Spinach,Kale,Lettuce, Onion, Chili, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala",25 Min,"Sauté mixed leafy greens including dill with onion and chili, spice powders, and salt in oil; fold into hot cooked basmati rice.",Aromatic Pulao With Herbal Medley,7,4,
Dill Leaves Steamed,150,5,18,Bitter,"Dill Leaves, Salt, Lemon Juice",10 Min,Dress chopped dill leaves with salt and lemon juice and serve.,Simple And Healthy Steamed Dill,3,2,
Dill Leaves Pan-fried,170,5,22,Salty  Bitter,"Dill Leaves, Garlic, Oil, Salt",12 Min,"Sauté minced garlic in oil, add chopped dill leaves with salt, and cook briefly.",Quick Pan-Fried Herbal Side,5,2,
Dill Leaves Smoked,160,4,20,Bitter,"Dill Leaves, Mustard Oil, Salt",15 Min,"Warm mustard oil, toss chopped dill leaves with a pinch of salt for a quick finish.",Smoky-Flavored Herbal Dish,4,2,
Dill Leaves Marinated,150,5,18,Astringent,"Dill Leaves, Yogurt, Chili Powder, Salt",10 Min,"Whisk yogurt with chili powder, salt, and chopped dill leaves; serve chilled.",Tangy Herbal Side Dish,3,2,
Dill Leaves Stuffed,220,7,28,Bitter  Salty,"Dill Leaves, Paneer/Tofu, Onion, Chili, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala",22 Min,"Sauté paneer/tofu with onion and chili, add chopped dill leaves and spice powders with salt, and cook until coated.",Stuffed Herbal Roll/Starter,7,2,
Dill Leaves Rolls,180,6,24,Salty,"Dill Leaves, Besan, Chili, Ginger, Oil",18 Min,"Sauté chopped dill with grated ginger in a little oil, add besan and water, salt, and cook small savory pancakes.",Snack Rolls Infused With Herbal Aroma,6,2,
Dill Leaves Balls,200,7,26,Bitter,"Dill Leaves, Potato, Chickpea Flour, Onion",20 Min,"Mix boiled potato, chickpea flour, onion, and chopped dill leaves with salt; shape and shallow-fry.",Crispy Herbal Balls,8,3,
Dill Leaves Crisps,170,5,22,Salty,"Dill Leaves, Rice Flour, Oil, Salt",15 Min,"Mix rice flour, chopped dill leaves, oil, salt, and water; pat thin rotis and cook on a tawa.",Crunchy Herbal Crisps,7,2,
Dill Leaves Chips,160,5,20,Salty  Bitter,"Dill Leaves, Oil, Rock Salt",12 Min,Dress chopped dill leaves with a drizzle of oil and rock salt and serve.,Dill-Infused Crunchy Snack,6,2,
Dill Leaves Raita with Greens,140,6,16,Bitter  Astringent,"Dill Leaves, Yogurt, Cucumber, Mint, Salt",10 Min,"Mix yogurt with diced cucumber, chopped mint, chopped dill leaves, and salt, and chill.",Cooling Herbal Raita,3,2,
Curry Leaves Curry,250,7,34,Bitter  Salty,"Curry Leaves, Onion, Tomato, Tamarind, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala, Oil",25 Min,"Heat oil, splutter curry leaves, sauté onion and tomato, add turmeric, red chili, coriander, cumin, garam masala, pour tamarind water, simmer until thick, and season with salt.",South Indian Herbal Curry,8,3,
Curry Leaves Fry,180,5,22,Salty,"Curry Leaves, Garlic, Chili, Oil, Salt",15 Min,"Heat oil, sizzle curry leaves with chopped garlic and chilies, season with salt, and toss briefly on medium heat.",Quick Spicy Fry,6,2,
Curry Leaves Masala,240,7,32,Bitter,"Curry Leaves, Onion, Tomato, Ginger-Garlic Paste, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala",20 Min,"Sauté onion and tomato with ginger-garlic paste and curry leaves in oil, add turmeric, red chili, coriander, cumin, garam masala, and cook until saucy.",Thick Masala Gravy With Herbal Notes,8,3,
Curry Leaves Stew,220,7,28,Bitter  Salty,"Curry Leaves, Coconut Milk, Onion, Green Chili, Garlic, Ginger, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala",25 Min,"Sauté onion, green chili, garlic, and ginger with curry leaves in oil, add turmeric, red chili, coriander, cumin, garam masala, pour coconut milk, simmer until creamy, and season.",Light South Indian Stew With Herbal Aroma,8,3,
Curry Leaves Soup,180,6,22,Bitter,"Curry Leaves, Onion, Garlic, Pepper, Broth",18 Min,"Sauté onion and garlic with curry leaves, add hot broth, cracked black pepper, and salt, and simmer 5?7 minutes.",Healthy Detox Soup With Distinct Herbal Flavor,5,2,
Curry Leaves Rasam,150,5,20,Astringent  Salty,"Curry Leaves, Tamarind, Tomato, Garlic, Rasam Powder, Chili",15 Min,"Simmer tamarind and tomato with crushed garlic, curry leaves, rasam powder, and chili, then finish with a quick temper and serve hot.",Spicy-Sour Herbal Rasam,4,2,
Curry Leaves Raita,130,6,16,Astringent,"Curry Leaves, Yogurt, Green Chili, Cucumber, Salt",10 Min,"Whisk yogurt with chopped cucumber, minced green chili, torn curry leaves, and salt; chill before serving.",Refreshing Herbal Yogurt Side,3,2,
Curry Leaves Poriyal,190,7,22,Bitter  Salty,"Curry Leaves, Grated Coconut, Mustard Seeds, Green Chili, Oil",15 Min,"Splutter mustard seeds in a little oil, add curry leaves and chopped green chili, stir in grated coconut and salt, and mix off heat.",Tamil-Style Herbal Stir Fry,6,2,
Curry Leaves Thoran,200,6,24,Bitter,"Curry Leaves, Coconut, Curry Chili Paste, Salt",15 Min,"Blend coconut with curry chili paste and salt, then finish with a quick sizzle of curry leaves in oil if desired.",Kerala-Style Herbal Thoran,6,2,
Curry Leaves Thoran with Coconut,210,7,26,Bitter  Astringent,"Curry Leaves, Grated Coconut, Cumin, Green Chili, Curry Leaves",18 Min,"Grind grated coconut with cumin and green chili, fold in finely chopped curry leaves, and season with salt.",Coconut-Enriched Version Of Classic Thoran,7,2,
Curry Leaves Pickle,160,4,18,Salty  Bitter,"Curry Leaves, Tamarind, Chili Powder, Oil, Salt",20 Min,"Warm oil, splutter curry leaves, add tamarind and chili powder with salt, and cook to a tangy chutney.",Tangy-Spicy Herbal Pickle,9,2,
Curry Leaves Biryani,270,8,42,Bitter  Salty,"Curry Leaves, Basmati Rice, Onion, Tomato, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala, Oil",25 Min,"Cook basmati rice; sauté onion and tomato with turmeric, red chili, coriander, cumin, garam masala, and salt in oil, fold in fried curry leaves, and toss.",Aromatic Herbal Biryani,8,4,
Curry Leaves Pulao,250,7,40,Salty,"Curry Leaves, Rice, Onion, Tomato, Green Chili, Garam Masala",22 Min,"Cook rice; sauté onion, tomato, and green chili with garam masala and salt, then stir in chopped curry leaves and mix.",Simple Fragrant Rice With Herbal Flavor,7,4,
Curry Leaves Khichdi,230,9,36,Salty  Bitter,"Curry Leaves, Rice, Moong Dal, Ghee, Cumin",22 Min,Cook rice and moong dal soft with ghee and cumin; finish with fried curry leaves and salt to taste.,Comforting Herbal Dal-Rice Dish,6,3,
Curry Leaves Upma,210,6,32,Salty,"Curry Leaves, Rava, Onion, Green Chili, Ginger, Salt",18 Min,"Dry-roast rava; temper curry leaves, onion, green chili, and ginger in oil, add hot water and salt, and cook to fluffy upma.",Breakfast Favorite With Herbal Twist,6,3,
Curry Leaves Dosa,230,7,34,Bitter  Salty,"Curry Leaves, Rice, Urad Dal, Chili, Salt",20 Min,"Soak rice and urad dal; grind with salt, ferment, top batter with chopped curry leaves and chilies, and cook uttapam-style on a tawa.",Crispy Herbal Dosa,6,2,
Curry Leaves Idli,190,6,30,Salty,"Curry Leaves, Rice, Urad Dal, Salt",18 Min,"Soak rice and urad dal; grind with salt, ferment, cook dosas, and scatter chopped curry leaves while cooking for aroma.",Soft Herbal Idlis,5,3,
Curry Leaves Paratha,250,8,36,Bitter,"Curry Leaves, Wheat Flour, Chili, Oil",20 Min,"Knead wheat flour with chopped curry leaves, minced chili, oil, salt, and water; rest, roll, and cook parathas.",Wheat Paratha With Herbal Notes,7,2,
Curry Leaves Pakora,200,6,28,Salty  Bitter,"Curry Leaves, Chickpea Flour, Chili, Onion, Oil",15 Min,"Mix chickpea flour with chopped curry leaves, chili, onion, salt, and water; pan-fry small pancakes in a little oil.",Crunchy Herbal Pakoras,8,3,
Curry Leaves Cutlet,220,7,30,Salty,"Curry Leaves, Potato, Bread Crumbs, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala, Oil",20 Min,"Mix mashed potato, bread crumbs, spice powders (turmeric, red chili, coriander, cumin, garam masala), salt, oil, and chopped curry leaves; shape and fry cutlets.",Golden-Brown Herbal Cutlets,9,3,
Curry Leaves Tikki,210,7,28,Bitter  Salty,"Curry Leaves, Chickpea Flour, Potato, Onion, Chili",18 Min,"Mix chickpea flour, boiled potato, onion, chopped curry leaves, and chilies with salt to a thick batter; shallow-fry dollops until crisp.",Herbal Tikki Rich In Flavor,7,3,
Curry Leaves Kebab,240,9,32,Bitter,"Curry Leaves, Gram Flour, Paneer, Onion, Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala",25 Min,"Sauté onion and paneer with gram flour and spices (turmeric, red chili, coriander, cumin, garam masala), add chopped curry leaves and salt, and cook until coated.",Spicy Herbal Kebab,8,3,
,,,,,,,,,,,
,,,,,,,,,,,
Curry Leaves Baked,170,5,22,Bitter,"Curry Leaves, Bread Crumbs, Cheese, Coconut Oil, Salt",Total in 20 Min,"Mix bread crumbs with grated cheese, chopped curry leaves, salt, and melted coconut oil; toast until crisp.",Crispy Baked Snack With Mild Herbal Notes,7,2,
Curry Leaves Roast,160,5,20,"Bitter, Salty","Curry Leaves, Garlic, Mustard Oil, Salt",Total in 18 Min,"Warm mustard oil, sizzle minced garlic and curry leaves, add salt, and spoon over vegetables as a finishing tadka.",Rustic Roasted Side Dish,6,2,
Curry Leaves Stuffed Paratha,270,9,40,Bitter,"Curry Leaves, Wheat Flour, Onion, Chili, Salt, Ghee",Total in 25 Min,"Sauté onion and garlic in ghee, add chopped curry leaves and salt, then fold into wheat flour dough with water; roll and cook parathas.",Delicious Paratha With Curry Leaf Stuffing,9,2,
Curry Leaves Sandwich,230,7,34,Salty,"Curry Leaves, Bread, Butter, Onion, Tomato, Cheese, Olive Oil",Total in 12 Min,"Toast buttered bread; add sautéed onion and tomato with curry leaves, top with cheese and a drizzle of olive oil, and grill until melty.",Quick Herbal Sandwich,8,2,
Curry Leaves Salad,140,5,18,"Bitter, Astringent","Curry Leaves, Cucumber, Tomato, Onion, Lemon Juice, Rock Salt",Total in 10 Min,"Toss chopped cucumber, tomato, onion, lemon juice, rock salt, and torn curry leaves; chill before serving.",Refreshing Salad With Herbal Punch,3,2,
Curry Leaves Smoothie,160,6,26,"Sweet, Bitter","Curry Leaves, Banana, Yogurt, Honey, Almond Milk",Total in 8 Min,"Blend banana, yogurt, honey, almond milk, and a few curry leaves until smooth; serve cold.",Unusual But Refreshing Herbal Smoothie,4,2,
Curry Leaves Milkshake,180,7,28,Sweet,"Curry Leaves, Milk, Jaggery, Cardamom, Almond Oil",Total in 10 Min,Simmer milk with crushed cardamom and a touch of jaggery; finish with a drop of almond oil and a sprig of curry leaves.,Sweet And Creamy Herbal Milkshake,5,2,
Curry Leaves Sundal,210,9,28,Salty,"Curry Leaves, Boiled Chickpeas, Mustard Seeds, Grated Coconut, Coconut Oil",Total in 20 Min,"Splutter mustard seeds in coconut oil, add curry leaves, then stir in boiled chickpeas and grated coconut with salt; toss briefly.",Protein-Rich South Indian Snack,6,3,
Curry Leaves Kofta,240,8,32,Bitter,"Curry Leaves, Chickpea Flour, Onion, Green Chili, Garam Masala, Mustard Oil",Total in 25 Min,"Mix chickpea flour, onion, green chili, garam masala, chopped curry leaves, salt, and mustard oil; shallow-fry small fritters.",Crunchy Kofta With Herbal Goodness,9,3,
Curry Leaves Kadhi,190,6,24,Astringent,"Curry Leaves, Yogurt, Chickpea Flour, Green Chili, Turmeric, Coconut Oil",Total in 20 Min,"Whisk yogurt with chickpea flour, turmeric, chopped curry leaves and green chili, and salt; temper with coconut oil and simmer to thicken.",Light Yogurt-Based Curry With Herbal Twist,5,3,
Curry Leaves Pongal,250,8,42,"Salty, Bitter","Curry Leaves, Rice, Moong Dal, Ghee, Ginger, Black Pepper",Total in 25 Min,"Cook rice and moong dal with ghee, ginger, black pepper, and salt; finish with fried curry leaves.",South Indian Breakfast Dish With Herbal Flavor,8,4,
Curry Leaves Uttapam,230,7,36,"Salty, Bitter","Curry Leaves, Rice Batter, Onion, Tomato, Chili, Salt",Total in 22 Min,"Spread rice batter on a greased tawa, top with onion, tomato, chilies, and chopped curry leaves, salt lightly, and cook both sides.",Soft Uttapam With Herbal Topping,6,2,
